material_code,original_description,standardized_description,unspsc_code,unspsc_description,material_grade,size,pressure_class,make,technical_specifications_json,classification_confidence,suggested_national_code
4110112294,"PIPE,CS,SMLS,A106,GRB,BE,6IN,40,STD","PIPE CS,SMLS,A106,GRB,BE,6IN,40,STD Carbon Steel 6IN STD",40141600,Carbon steel pipes,Carbon Steel,6IN,STD,,"{'material': 'Carbon Steel', 'size': '6IN', 'pressure_rating': 'STD', 'manufacturer': '', 'service': 'General'}",0.9000212721334915,CNM-40141600-034
4110112564,"PIPE,CS,SMLS,A106,GRB,BE,8IN,40","PIPE CS,SMLS,A106,GRB,BE,8IN,40 Carbon Steel 8IN",40141600,Carbon steel pipes,Carbon Steel,8IN,,,"{'material': 'Carbon Steel', 'size': '8IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.9392362529870659,CNM-40141600-035
4140010464,"PIPE,SS,SMLS,A312,GR.TP304,BE,3/4IN,80","PIPE SS,SMLS,A312,GR.TP304,BE,3/4IN,80 Stainless Steel 3/4IN",40141600,Stainless steel pipes,Stainless Steel,3/4IN,,,"{'material': 'Stainless Steel', 'size': '3/4IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8927904906537414,CNM-40141600-036
4140010953,"PIPE,SS,SMLS,A312,GRTP304,BE,2IN,40S","PIPE SS,SMLS,A312,GRTP304,BE,2IN,40S Stainless Steel 2IN",40141600,Stainless steel pipes,Stainless Steel,2IN,,,"{'material': 'Stainless Steel', 'size': '2IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.891496871891862,CNM-40141600-037
4140150954,"PIPE,SS,SMLS,A312,GRTP316L,BE,2IN,40","PIPE SS,SMLS,A312,GRTP316L,BE,2IN,40 Stainless Steel 2IN",40141600,Stainless steel pipes,Stainless Steel,2IN,,,"{'material': 'Stainless Steel', 'size': '2IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8958887563805408,CNM-40141600-038
4331014564,"CPLG,FULL,TH,CS,A105,3000,1/2IN","CPLG FULL,TH,CS,A105,3000,1/2IN Carbon Steel 1/2IN 3000",40171600,Couplings,Carbon Steel,1/2IN,3000,,"{'material': 'Carbon Steel', 'size': '1/2IN', 'pressure_rating': '3000', 'manufacturer': '', 'service': 'General'}",0.8564106677752067,CNM-40171600-039
4331055544,"CPLG,RED,TH,CS,A105,3000,3/4x1/4IN","CPLG RED,TH,CS,A105,3000,3/4x1/4IN Carbon Steel 3/4x1/4IN 3000",40171600,Reducing couplings,Carbon Steel,3/4x1/4IN,3000,,"{'material': 'Carbon Steel', 'size': '3/4x1/4IN', 'pressure_rating': '3000', 'manufacturer': '', 'service': 'General'}",0.8588164123324311,CNM-40171600-040
4346084564,"ELBOW,W,90,SW,CS,A105,3000,1/2IN","ELBOW W,90,SW,CS,A105,3000,1/2IN Carbon Steel 1/2IN 3000",40171600,Elbows 90 degree,Carbon Steel,1/2IN,3000,,"{'material': 'Carbon Steel', 'size': '1/2IN', 'pressure_rating': '3000', 'manufacturer': '', 'service': 'General'}",0.9045088661149023,CNM-40171600-041
4346084604,"ELBOW,W,90,SW,CS,A105,3000,3/4IN","ELBOW W,90,SW,CS,A105,3000,3/4IN Carbon Steel 3/4IN 3000",40171600,Elbows 90 degree,Carbon Steel,3/4IN,3000,,"{'material': 'Carbon Steel', 'size': '3/4IN', 'pressure_rating': '3000', 'manufacturer': '', 'service': 'General'}",0.8958346290148383,CNM-40171600-042
4346084644,"ELBOW,W,90,SW,CS,A105,3000,1IN","ELBOW W,90,SW,CS,A105,3000,1IN Carbon Steel 1IN 3000",40171600,Elbows 90 degree,Carbon Steel,1IN,3000,,"{'material': 'Carbon Steel', 'size': '1IN', 'pressure_rating': '3000', 'manufacturer': '', 'service': 'General'}",0.9239944663053453,CNM-40171600-043
4346230824,"ELBOW,W,90,LR,BW,CS,A234,WPB,1 1/2IN,80","ELBOW W,90,LR,BW,CS,A234,WPB,1 1/2IN,80 Carbon Steel 1 1/2IN",40171600,Elbows long radius,Carbon Steel,1 1/2IN,,,"{'material': 'Carbon Steel', 'size': '1 1/2IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.9147424952011801,CNM-40171600-044
4346230914,"ELBOW, 90 LR BW CS A234 WPB 2IN  XS",ELBOW 90 LR BW CS A234 WPB 2IN  XS Carbon Steel 90 LR BW CS A234 WPB 2IN  XS 90 LR BW CS A234 WPB 2IN  XS,40171600,Elbows long radius,Carbon Steel,90 LR BW CS A234 WPB 2IN  XS,90 LR BW CS A234 WPB 2IN  XS,,"{'material': 'Carbon Steel', 'size': '90 LR BW CS A234 WPB 2IN  XS', 'pressure_rating': '90 LR BW CS A234 WPB 2IN  XS', 'manufacturer': '', 'service': 'General'}",0.9262143355918673,CNM-40171600-045
4346231194,"ELBOW,W,90,LR,BW,CS,A234,WPB,3IN,40","ELBOW W,90,LR,BW,CS,A234,WPB,3IN,40 Carbon Steel 3IN",40171600,Elbows long radius,Carbon Steel,3IN,,,"{'material': 'Carbon Steel', 'size': '3IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8892124867917768,CNM-40171600-046
4346231444,"ELBOW,W,90,LR,BW,CS,A234,WPB,4IN,40","ELBOW W,90,LR,BW,CS,A234,WPB,4IN,40 Carbon Steel 4IN",40171600,Elbows long radius,Carbon Steel,4IN,,,"{'material': 'Carbon Steel', 'size': '4IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8520400804617295,CNM-40171600-047
4346231694,"ELBOW,W,90,LR,BW,CS,A234,WPB,6IN,40","ELBOW W,90,LR,BW,CS,A234,WPB,6IN,40 Carbon Steel 6IN",40171600,Elbows long radius,Carbon Steel,6IN,,,"{'material': 'Carbon Steel', 'size': '6IN', 'pressure_rating': '', 'manufacturer': '', 'service': 'General'}",0.8999896499893953,CNM-40171600-048
